title,tomato_meter
13th,97%
30 for 30,
9/11,
A Leaf of Faith,
A Mother Brings Her Son to Be Shot,
Active Measures,
After Porn Ends,
Amanda Knox,
America to Me,
American Boy: A Profile of - Steven Prince,
American Chaos,
American Pickers,
Amy,
Ancient Aliens,
Anthony Bourdain: Parts Unknown,
Before the Flood,
Beware the Slenderman,
Bisbee '17,
Blackfish,
Blue Planet II,
Bowling for Columbine,
Casting Calls,
Catfish,
Chef's Table,
Citizenfour,
City of Joy,
Cosmos: A Spacetime Odyssey,
Dark Tourist,
DC's Legends of Tomorrow: Their Time Is Now,
Death of a Nation,
Dirty Money,
Dominion,
Earthlings,
Evil Genius: The True Story of America's Most Diabolical Bank Heist,
Expedition Happiness,
Explained,
Faces of Death,
Faces Places,
Fahrenheit 9/11,83%
First and Last,
Forensic Files,
Free Solo,
Grey Gardens,
Grizzly Man,
Hal,
Hannah Gadsby: Nanette,
Homicide Hunter: Lt. Joe Kenda,
Hot Girls Wanted,
Hot Girls Wanted: Turned On,
Hunt For The Skinwalker,
I Am a Killer,
I Am Not Your Negro,
I Am Paul Walker,
Icarus,
In Search of...,
Inside Deep Throat,
Inside Job,
"Inside Look: The Assassination of Gianni Versace, American Crime Story",
Inside the Freemasons,
Inside the Manson Cult: The Lost Tapes,
Jane,
Jane Fonda in Five Acts,
Jim & Andy: The Great Beyond,
Jodorowsky's Dune,
Koyaanisqatsi,
Last Chance U,
Leah Remini: Scientology and the Aftermath,
Life,
Life Below Zero,
Lore,
"Love, Gilda",
Making a Murderer,
Maria by Callas,
Matangi/Maya/M.I.A.,
McQueen,
Meru,
Michael Moore in TrumpLand,
Minding the Gap,
Minimalism: A Documentary About the Important Things,
Model Squad,
Mountain,
MythBusters,
Nathan for You,
No Small Parts,
Nude,
Operation Odessa,
Paradise Lost: The Child Murders at Robin Hood Hills,
Pick of the Litter,
Pistorius,
Planet Earth,
Planet Earth II,
Pope Francis: A Man of His Word,
Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,
Pumping Iron,
QB1: Beyond the Lights,
Quincy,
RBG,
Real Detective,
Restrepo,
Reversing Roe,
Robin Williams: Come Inside My Mind,
Rocco,
Roman Empire,
Samsara,
Science Fair,
Searching for Sugar Man,
Sebastian Junger,
Senna,
Sicko,
Spitfire,
Studio 54,
Super Size Me,
Tea with the Dames,
The Act of Killing,
The Bible,
The Bleeding Edge,
The Dawn Wall,
The Defiant Ones,
The Devil and Father Amorth,
The Fear of 13,
The Imposter,
The Investigator: A British Crime Story,
The Jinx: The Life and Deaths of Robert Durst,
The Keepers,
The Magic Pill,
The Making of the Mob,
The Most Unknown,
The Nightmare,
The Oslo Diaries,
The Raft,
The Repair Shop,
The Staircase,
The Surrounding Game,
The Vietnam War,
The Work,
The World at War,
The World's Most Extraordinary Homes,
Three Identical Strangers,
Tickled,
Touching the Void,
Travel Man: 48 Hours in...,
Unacknowledged,
What the Health,
Where to Invade Next,
Whitney,
Wild Wild Country,
Won't You Be My Neighbor?,
X-Rated: The Greatest Adult Movies of All Time,